time,ActD,CISoe,SOCS3oe,SHP1oe,epo_level,pJAK2_au,pJAK2_au_std,pEpoR_au,pEpoR_au_std,CIS_au,CIS_au_std,SOCS3_au,SOCS3_au_std,tSTAT5_au,tSTAT5_au_std,pSTAT5_au,pSTAT5_au_std
0,0,0,0,NaN,1.25e-07,-1.95599762557561,0.213204858738411,-2.3553252302031,0.213204858738411,-1.76935993330706,0.148964827303238,NaN,NaN,-0.23638223504608,0.137276602042526,-2.96272532435892,0.137276602042526
5,0,0,0,NaN,1.25e-07,0,0.213204858738411,-0.154400561644228,0.213204858738411,-1.41095198482525,0.148964827303238,NaN,NaN,0,0.137276602042526,0,0.137276602042526
10,0,0,0,NaN,1.25e-07,-0.127344806374178,0.213204858738411,0,0.213204858738411,-1.67072834872607,0.148964827303238,-0.959711517423787,0.0848516062420208,-0.164299242959636,0.137276602042526,-0.0421106082218592,0.137276602042526
20,0,0,0,NaN,1.25e-07,-0.127344806374178,0.213204858738411,-0.217191391503683,0.213204858738411,-1.43079218523461,0.148964827303238,-0.55057947682285,0.0848516062420208,-0.248148116973255,0.137276602042526,-0.251698446666412,0.137276602042526
40,0,0,0,NaN,1.25e-07,-0.581607137532277,0.213204858738411,-0.719316116206963,0.213204858738411,-0.890319302702031,0.148964827303238,NaN,NaN,NaN,NaN,NaN,NaN
60,0,0,0,NaN,1.25e-07,-1.36547262889341,0.213204858738411,-0.996595214566894,0.213204858738411,-0.548991560655054,0.148964827303238,-0.244981248162557,0.0848516062420208,-0.065581965397391,0.137276602042526,-0.407954070403955,0.137276602042526
80,0,0,0,NaN,1.25e-07,-0.787282786054155,0.213204858738411,-0.95487744129283,0.213204858738411,-0.0857460419244596,0.148964827303238,NaN,NaN,-0.167295929306147,0.137276602042526,-0.772185698006647,0.137276602042526
100,0,0,0,NaN,1.25e-07,-1.0333527385497,0.213204858738411,-1.15585621457503,0.213204858738411,-0.0351469501259641,0.148964827303238,NaN,NaN,-0.126338958119533,0.137276602042526,-0.786955622935778,0.137276602042526
120,0,0,0,NaN,1.25e-07,-1.59728747646672,0.213204858738411,-0.548184610545108,0.213204858738411,NaN,NaN,0,0.0848516062420208,-0.0584778472008498,0.137276602042526,-0.712454537428883,0.137276602042526
140,0,0,0,NaN,1.25e-07,-0.87244777975697,0.213204858738411,-0.872772916830244,0.213204858738411,-0.111766931550863,0.148964827303238,NaN,NaN,-0.193369241835168,0.137276602042526,-0.914700204149184,0.137276602042526
160,0,0,0,NaN,1.25e-07,-0.866920046130467,0.213204858738411,-0.620594295877223,0.213204858738411,-0.12403767918259,0.148964827303238,NaN,NaN,-0.153513804944323,0.137276602042526,-0.897636958899707,0.137276602042526
180,0,0,0,NaN,1.25e-07,-1.25001612833191,0.213204858738411,-1.29514676356928,0.213204858738411,-0.0217613620144934,0.148964827303238,0,0.0848516062420208,-0.0751112295179163,0.137276602042526,-0.535187779629362,0.137276602042526
220,0,0,0,NaN,1.25e-07,-1.2273622688806,0.213204858738411,-1.39773520108423,0.213204858738411,-0.0402838548483609,0.148964827303238,NaN,NaN,-0.240428040611722,0.137276602042526,-1.06689403147387,0.137276602042526
240,0,0,0,NaN,1.25e-07,-0.990906111356113,0.213204858738411,-1.06889043485623,0.213204858738411,0,0.148964827303238,-0.0133420975969506,0.0848516062420208,-0.141014250062728,0.137276602042526,-0.559227992203621,0.137276602042526
